itemNumber,fileName,dbIndex,dbType,dbSmith,dbMei,dbPeriod
1,JT-48-1-001 Awataguchi Kuniyasu,130,Katana,Kuniyasu,Mumei [粟田口国安],Early Kamakura
2,JT-48-1-002 Awataguchi Kunimitsu,235,Katana,Kunimitsu,[Kinpun 粟田口国光/ 本阿 (花押) (光遜)],Middle - Late Kamakura
3,JT-48-1-003 Ayanokoji,431,Tachi,Ayanokoji,Mumei [綾小路],Kamakura
4,JT-48-1-004 Ayanokoji,446,Katana,Ayanokoji,Mumei [綾小路],Kamakura
5,JT-48-1-005 Ayanokoji,448,Katana,Ayanokoji,Mumei [綾小路],Kamakura
6,JT-48-1-006 Rai Kuniyuki,602,Katana,Kuniyuki,[Kinzogan 来国行],Middle Kamakura
7,JT-48-1-007 Niji Kunitoshi,689,Katana,Niji Kunitoshi,Mumei [二字国俊],Middle - Late Kamakura
8,JT-48-1-008 Niji Kunitoshi,706,Wakizashi,Niji Kunitoshi,Mumei [二字国俊],Middle - Late Kamakura
9,JT-48-1-009 Rai Kunitoshi,783,Katana,Kunitoshi,Mumei [来国俊],Late Kamakura
10,JT-48-1-010 Rai Kunitoshi,860,Tanto,Kunitoshi,Mumei [来国俊],Late Kamakura
11,JT-48-1-011 Rai Kunitoshi,914,Tanto,Kunitoshi,来国俊,Late Kamakura
12,JT-48-1-012 Rai Kunimitsu,970,Tachi,Kunimitsu,来国光,Late Kamakura - Early Nanbokucho
13,JT-48-1-013 Rai Kunimitsu,1006,Katana,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
14,JT-48-1-014 Rai Kunimitsu,1031,Katana,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
15,JT-48-1-015 Rai Kunimitsu,1096,Katana,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
16,JT-48-1-016 Rai Kunimitsu,1100,Katana,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
17,JT-48-1-017 Rai Kunimitsu,1125,Katana,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
18,JT-48-1-018 Rai Kunimitsu,1152,Wakizashi,Kunimitsu,Mumei [来国光],Late Kamakura - Early Nanbokucho
19,JT-48-1-019 Rai Kunizane,1345,Katana,Kunizane,[Kinpun 来国真],Late Kamakura - Early Nanbokucho
20,JT-48-1-020 Ryokai,1563,Tachi,Ryokai,[Kinpun 了戒/ 本阿 (花押) (光遜)],Late Kamakura
21,JT-48-1-021 Hasebe Kunishige,1730,Wakizashi,Kunishige,長谷部国重,Nanbokucho
22,JT-48-1-022 Hasebe Kuninobu,1824,Tanto,Kuninobu,長谷部国信,Nanbokucho
23,JT-48-1-023 Nobukuni,2022,Wakizashi,Nobukuni,Mumei [信国],Nanbokucho
24,JT-48-1-024 Nobukuni (Saemon no Jo),2036,Wakizashi,Nobukuni,信国 [左衛門尉],Late Nanbokucho - Early Muromachi
25,JT-48-1-025 Nobukuni (Shikibu no Jo),2089,Tanto,Nobukuni,源式部丞信国/ 応永三十□年十二月日,1424-1428
26,JT-48-1-026 Senju'in Yoshihiro,2209,Tanto,Yoshimitsu,大和国住吉光,Late Kamakura
27,JT-48-1-027 Senju'in Yoshihiro,2211,Tanto,Yoshimitsu,Mumei [大和国吉光],Late Kamakura
