Session,Book,Index,Item,Attribution,Mei,Attachment,
1,1,1,Tachi,Kunitomo,国友,,
1,1,2,Tachi,Rai Kunitoshi,来国俊,Tachi Koshirae – 桐 沢潟紋散糸巻太刀,
1,1,3,Tachi,Ryōkai,了戒,,
1,1,4,Wakizashi,Rai Kuninaga,来国長,,
1,1,5,Wakizashi,Hasebe Kunishige (1355),長谷部国重 / 文和二二年八月日,,
1,1,6,Katana,Sukezane,[Kinzōgan 助真 / 本阿 (花押)],,
1,1,7,Tachi,Shintōgo Kunimitsu,国光,,
1,1,8,Katana,den Yukimitsu,Mumei [伝行光],,
1,1,9,Tantō,Hata Chōgi,秦長義,,
1,1,10,Katana,Mino Kanesada,裏和泉守藤原兼定作 / 臨兵闘者皆陣烈在前,,
1,1,11,Tachi,Kagenori,景則  (Attachment – Tiger Skin Shirisaya – 同虎皮尻鞘入替鞘) (Attachment – Tachi Koshirae – 金沃懸地竹二向雀 – 丸二三引紋唐草文蒔絵毛抜形衛府太刀拵),Tachi Koshirae – 金梨子地牡丹 – 竹二向雀 – 丸二三引紋金貝蒔 絵 – 糸巻太刀拵,
1,1,12,Tachi,Nobumasa,信正,,
1,1,13,Tachi,Naomune,(絹傘) 尚宗 / 一,,
1,1,14,Katana,den Sukefusa,Mumei [伝助房],,
1,1,15,Katana,den Yoshihira,Mumei [伝吉平],,
1,1,16,Katana,Sanenaga,[Kinzōgan 真長],,
1,1,17,Tachi,Tomomitsu (1373),備州長船倫光 / 応安六年八月日,,
1,1,18,Tachi,Moriie,守家造,,
1,1,19,Katana,Katsumitsu (1512),備前国住長船次郎左衛門尉藤原勝光作 / 永正九年八月吉日 / 及心処 不可有此上者也,,
1,1,20,Naginata,Katsumitsu & Sukesada (1522),備前国住長船次郎左衛門尉藤原勝光作 / 同三左衛門尉 祐定 / 為宇喜多和泉守三宅朝臣能家作之 / 永正十八年二月吉日,,
1,1,21,Katana,Horikawa Kuniyasu,国安,,
1,1,22,Katana,Teruhiro,肥後守藤原輝広作,,
1,1,23,Wakizashi,Echizen Yasutsugu (1630),(葵紋) 八幡康継 喜内知柤彫之 / 寛永七年十二月日,,
1,1,24,Wakizashi,Kotetsu,同作彫之 長曾禰興里吉入道 [Kinzōgan 二ツ胴切落万治元年戊九月四日山野 加右衛門尉永久 (花押)],,
1,1,25,Katana,Kotetsu,長曽禰興里入道虎徹,,
1,1,26,Katana,Okinao,長曽禰興直,,
1,1,27,Tachi Koshirae,,金梨子地桐紋散糸巻太刀拵,,
1,1,28,Tsuba (弓矢八幡鐔),Nobuie,信家,,
1,1,29,Tsuba (寿老図鐔),Toshinaga,利寿,,
1,1,30,Tsuba (雲竜図鐔及緑頭),Yasuchika,安親,,
1,1,31,Daishō Tsuba (花鳥図大小鐔),Ishiguro Koreyoshi,石黒是美,,
2,1,1,Katana,Niji Kunitoshi,Mumei [二字国俊],,
2,1,2,Tachi,Rai Kunitoshi,来国俊,,
2,1,3,Tantō,Rai Kunitoshi,来国俊,Aikuchi Koshirae – 金合口拵,
2,1,4,Katana,Rai Kunimitsu,[Kinzōgan 来国光 / 本阿 (花押)],,
2,1,5,Katana,den Rai Kunimitsu,Mumei [伝来国光],,
2,1,6,Katana,den Rai Kunimitsu,Mumei [伝来国光],,
2,1,7,Tantō,Rai Kunimitsu (1327),来国光 / 嘉暦二年,Aikuchi Koshirae – 黒色蝋塗合口拵,
2,1,8,Tachi,Kanenaga,包永,,
2,1,9,Tachi,Kanenaga,包永,,
2,1,10,Katana,den Yukimitsu,Mumei [伝行光],,
2,1,11,Katana,Takagi Sadamune,Mumei [高木貞宗],,
2,1,12,Tantō,Mino Kanesada,兼定,,
2,1,13,Tachi,Yoshikane,Mumei [吉包],,
2,1,14,Tachi,Shigehisa,重久,,
2,1,15,Katana,den Ko–Bizen,Mumei [伝古備前],,
2,1,16,Tachi,Sukemori,助守,,
2,1,17,Tachi,Ichimonji,一  (Attachment – Katana Koshirae – 黒色蝋塗刀拵) (Attachment – Tachi Koshirae – 桐かたばみ紋散銀長覆輪兵庫鎖太刀拵),Katana Koshirae – 黒色蝋塗雨竜線画刀拵,
2,1,18,Tachi,Ichimonji,一,Tachi Koshirae – 梅鉢紋散糸巻太刀拵,
2,1,19,Tachi,Mitsutada,Mei ga aru 光忠,,
2,1,20,Tachi,Nagamitsu,長光,,
2,1,21,Katana,Nagamitsu,Mumei [長光],,
2,1,22,Tachi,Sanenaga (1309),備前国長船住人真長造 / 延慶二年二月日,,
2,1,23,Katana,Sanenaga,Mumei [真長],Uchigatana Koshirae & Hon’ami Origami – 肥後打刀 拵 並 本阿弥光室折紙,
2,1,24,Tachi,Chikakage,備前国長船住近景,Katana Koshirae – 黒色蝋塗刀拵,
2,1,25,Katana,den Chōgi,Mumei [伝長義],,
2,1,26,Tachi,Toshitsugu,俊次,,
2,1,27,Tachi,Moritsugu,備前国住守次,,
2,1,28,Tantō,Tanshū Kunimitsu,但州住国光,,
2,1,29,Katana,Kunimichi,出羽大掾藤原国路,,
2,1,30,Tachi,Kotetsu (1673),長曽禰興里入道虎徹 / 延宝元年十一月日,,
2,1,31,Tantō,Minamoto Masayuki,恭呈 西涯墹先生 / 於長門国正行製,,
2,1,32,Katana,Hizen Tadayoshi,忠吉,,
2,1,33,Katana,Hizen Tadayoshi (Mutsu),肥前国住陸奥守忠吉,,
2,1,34,Tachi Koshirae,,黒漆銀銅蛭巻太刀拵,,
2,1,35,Tachi Koshirae,,革包黒漆金装糸巻太刀拵,,
2,1,36,Tachi Koshirae,,刑部梨子地糸巻太刀及添指拵,,
2,1,37,Chiisagatana Koshirae,,藤花文金造小さ刀拵,,
2,1,38,Tsuba (蘆雁図鐔),Kaneie,金家作,,
2,1,39,Kozuka (立馬図小柄),Sōmin,宗珉作,,
3,1,1,Tachi,Ayanokōji Sadatoshi,定利,,
3,1,2,Katana,Rai Kunimitsu,[Kiritsuke 上来国光],,
3,1,3,Wakizashi,Rai Kunimitsu,来国光,,
3,1,4,Wakizashi,Rai Kunimitsu,来国光,,
3,1,5,Tantō,Rai Kunitsugu,来国次,,
3,1,6,Katana,Heianjō Nagayoshi,平安城長吉,,
3,1,7,Tachi,Kanenaga,包永,,
3,1,8,Tachi,Kanenaga,包永,,
3,1,9,Tachi,Ryūmon Nobuyoshi,延吉,,
3,1,10,Tachi,Senju’in,Mumei [千手院],,
3,1,11,Tantō,Kanro Toshinaga,江州甘呂俊長,,
