Index,School,Smith,Mei,Type,Nagasa,Sori,Moto,Saki,Nakago,Ana,Length,Hori,Authentication,Province,Period,References,Description,Attachments,Tags,MediaAttachments
1,Sanjo,Munechika,三条,Tachi,80,2.8,2.9,1.4,Ubu,2,18.7,NA,"Kokuho, Tokyo National Museum",Yamashiro,Late Heian,"TB 59, TB 111, TB 496f, MKS, GAK, KOZA, SHI, EKO, KOU, SHO, CLUB, KYO, SDZ, CUL, KOK, JUBU, MEIB, JBRN00012, KOZU, TAI, TS 843, TNSE, JPS","Meito – Mikazuki Munechika 三日月宗近, Denrai - Toyotomi Hideyoshi, Tokugawa Hidetada, Tokugawa Family",Koshirae,,
2,Sanjo,Munechika,Mumei [伝宗近],Tachi,79.4,3,NA,NA,Ubu,2,NA,NA,"Fukuoka Prefecture Bunkazai, Hakozakigu",Yamashiro,Late Heian,"PBU, FUO, FUOC",NA,NA,,
3,Sanjo,Munechika,宗□ [宗近],Tachi,78.9,3.1,2.9,1.6,Ubu,3,20.2,NA,"Juyo Bunkazai, Wakasahiko Jinja",Yamashiro,Late Heian,"SHO, KYO, JUBU, CUL, JBRN01280, FUK, KOZU, OBAC, OEYE",Dedicated to the shrine by Sakai Tadanari in 1795,NA,,
4,Sanjo,Munechika,宗近,Tachi,78.4,2.4,3,1.5,Ubu,2,20.3,NA,Imperial Collection,Yamashiro,Late Heian,"TB 111, TB 198, KOZA, SHI, SDZ, TAI, MEOS, GYOK","Gyobutsu, Denrai - Sakai Family, Emperor Meiji",NA,,
5,Sanjo,Munechika,三条,Tachi,78.1,3.2,2.9,1.7,Ubu,2,18.9,Hi,"Juyo Bunkazai, Nangu Taisha",Yamashiro,Late Heian,"TB 59, ART, SC, KOU, JUBU, KOZA, KYO, CUL, JBRN01293, GIF, ONPR, KASS",Dedicated to the shrine by Yabashi Ryokichi in early Showa,NA,,
6,Sanjo,Munechika,Mei ga aru 三条,Tachi,76.1,NA,NA,NA,Ubu,1,NA,Hi,XX,Yamashiro,Late Heian,TB 242,NA,NA,,
7,Sanjo,Munechika,宗近,Tachi,74.9,NA,NA,NA,Ubu,1,NA,NA,Hikone Castle Museum,Yamashiro,Late Heian,REB,Burned,NA,,
8,Sanjo,Munechika,宗近 (再刃),Tanto,29.7,0,NA,NA,Suriage,4,9.1,Hori,Tokugawa Art Museum,Yamashiro,Late Heian,"SC, TG, UG, KOU, REB, TOK3, TOK6, TOKS","Meito – Ebina Kokaji 海老名小鍛治, Saiha, Burned in Osaka Castle",Sayagaki,,
9,Sanjo,Munechika,宗近,Tanto,24.3,NA,NA,NA,Ubu,3,8.8,NA,Tokugawa Art Museum,Yamashiro,Late Heian,TOKS,NA,Sayagaki,,
10,Sanjo,Yoshiie,Mumei [三条吉家],Tachi,77.6,3.3,3,1.9,Ubu,2,21.2,NA,Juyo 26,Yamashiro,Late Heian,JNZ,NA,NA,,
11,Sanjo,Yoshiie,吉家作,Tachi,76.9,2.4,3,1.8,Ubu,1,19.9,NA,Juyo 20,Yamashiro,Late Heian,"JNZ, KANHI1",NA,NA,,
12,Sanjo,Yoshiie,吉家作,Tachi,76.1,2.3,2.6,1.7,Suriage,2,16,NA,"Uesugi Family, Private",Yamashiro,Late Heian - Early Kamakura,"TB 130, KOZA, NKAN, TAI, NKKA, UES",Denrai - Uesugi Kenshin,NA,,
13,Sanjo,Yoshiie,吉家作,Tachi,75.8,3,NA,NA,NA,NA,NA,NA,"Juyo Bunkazai, Mori Shusui Museum of Art",Yamashiro,Late Heian,"TB 51f, CUL, JBRN01748",NA,NA,,
14,Sanjo,Yoshiie,吉家作,Tachi,74.8,2.4,2.9,1.9,Suriage,3,21.5,NA,"Juyo Bunkazai, Kyoto National Museum",Yamashiro,Late Heian,"KOZA, EKO, KYO, SDZ, JUBU, CUL, JBRN01146, KNM, TNSE, JPS",Denrai - Shimazu Family,NA,,
15,Sanjo,Yoshiie,吉家,Tachi,74.3,2.6,2.9,2,Suriage,3,17,NA,"Juyo Bunkazai, Location Unlisted",Yamashiro,Late Heian - Early Kamakura,"TB 111f, JUBU, CUL, JBRN01314, TAI",NA,NA,,
16,Sanjo,Yoshiie,吉家作,Tachi,73.9,2.6,2.9,2.1,Suriage,3,22.1,NA,Imperial Collection,Yamashiro,Late Heian - Early Kamakura,"MEOS, GYOK",Denrai - Hachisuka Family,Koshirae,,
